latitude,longitude,country_code,time_stamp,carrier_name,diff,app_name
35.2,-89.4,us,2018-09-06,HughesNetworkSystems (WiFi),0,Amazon
34.6,-118.0,us,2018-09-15,HughesNetworkSystems (WiFi),0,Amazon
48.6,-118.1,us,2018-11-10,HughesNetworkSystems (WiFi),0,Amazon
42.2,-71.6,us,2018-11-11,HughesNetworkSystems (WiFi),0,Amazon
33.7,-114.2,us,2018-01-28,HughesNetworkSystems (WiFi),0,Youtube
29.5,-82.7,us,2018-01-31,HughesNetworkSystems (WiFi),0,Youtube
29.5,-82.7,us,2018-01-31,HughesNetworkSystems (WiFi),0,Youtube
29.5,-82.7,us,2018-01-31,HughesNetworkSystems (WiFi),0,Youtube
29.5,-82.7,us,2018-01-31,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-01-28,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-01-28,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-02-05,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-02-05,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-02-05,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-02-05,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-02-10,HughesNetworkSystems (WiFi),0,Youtube
41.5,-122.4,us,2018-02-24,HughesNetworkSystems (WiFi),0,Youtube
,,,2018-03-18,HughesNetworkSystems (WiFi),0,Youtube
41.1,-104.7,us,2018-03-23,HughesNetworkSystems (WiFi),0,Youtube
31.7,-96.0,us,2018-05-19,HughesNetworkSystems (WiFi),0,Youtube
36.1,-110.2,us,2018-08-02,HughesNetworkSystems (WiFi),0,Youtube
35.2,-89.4,us,2018-09-06,HughesNetworkSystems (WiFi),0,Youtube
48.6,-118.1,us,2018-11-10,HughesNetworkSystems (WiFi),0,Youtube
42.2,-71.6,us,2018-11-11,HughesNetworkSystems (WiFi),0,Youtube
,,,2019-08-10,NextlinkBroadband (WiFi),0,AppleMusic
32.6,-97.8,us,2019-08-26,NextlinkBroadband (WiFi),0,AppleMusic
32.6,-97.8,us,2019-08-26,NextlinkBroadband (WiFi),0,Skype
,,,2019-08-10,NextlinkBroadband (WiFi),0,Netflix
32.2,-98.1,us,2019-03-09,NextlinkBroadband (WiFi),0,Netflix
32.2,-98.1,us,2019-03-09,NextlinkBroadband (WiFi),0,Netflix
32.6,-97.8,us,2019-08-26,NextlinkBroadband (WiFi),0,Netflix
32.6,-97.8,us,2019-08-26,NextlinkBroadband (WiFi),0,Netflix
32.8,-98.1,us,2019-09-01,NextlinkBroadband (WiFi),0,Netflix
32.2,-98.1,us,2020-03-03,NextlinkBroadband (WiFi),0,Netflix
32.2,-98.1,us,2020-03-03,NextlinkBroadband (WiFi),0,Netflix
,,,2019-09-17,NextlinkBroadband (WiFi),0,Amazon
32.2,-98.1,us,2020-03-03,NextlinkBroadband (WiFi),1,Youtube
32.2,-98.1,us,2020-03-03,NextlinkBroadband (WiFi),1,Youtube
33.1,-97.5,us,2018-10-13,NextlinkBroadband (WiFi),0,Spotify
33.1,-97.5,us,2018-10-13,NextlinkBroadband (WiFi),0,Spotify
32.8,-97.5,us,2018-11-21,NextlinkBroadband (WiFi),0,Amazon
32.8,-97.5,us,2018-11-21,NextlinkBroadband (WiFi),0,Amazon
33.1,-97.5,us,2018-10-13,NextlinkBroadband (WiFi),0,Amazon
33.1,-97.5,us,2018-10-13,NextlinkBroadband (WiFi),0,Amazon
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),0,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),0,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),0,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),1,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),0,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),0,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),1,Youtube
33.2,-97.2,us,2018-04-19,NextlinkBroadband (WiFi),0,Youtube
,,,2018-08-05,NextlinkBroadband (WiFi),0,Youtube
,,,2018-08-05,NextlinkBroadband (WiFi),0,Youtube
,,,2018-08-05,NextlinkBroadband (WiFi),0,Youtube
,,,2018-08-05,NextlinkBroadband (WiFi),0,Youtube
,,,2018-08-05,NextlinkBroadband (WiFi),0,Youtube
32.8,-97.5,us,2018-11-21,NextlinkBroadband (WiFi),0,Youtube
32.8,-97.5,us,2018-11-21,NextlinkBroadband (WiFi),0,Youtube
32.8,-97.5,us,2018-11-21,NextlinkBroadband (WiFi),0,Youtube
32.8,-97.5,us,2018-11-21,NextlinkBroadband (WiFi),0,Youtube
32.8,-97.5,us,2018-11-22,NextlinkBroadband (WiFi),0,Youtube
32.8,-97.5,us,2018-11-22,NextlinkBroadband (WiFi),1,Youtube
33.1,-97.5,us,2018-10-13,NextlinkBroadband (WiFi),0,Youtube
33.1,-97.5,us,2018-10-13,NextlinkBroadband (WiFi),0,Youtube
56.0,12.8,se,2018-10-20,ViasatSatelliteServicesAB (WiFi),0,Youtube
43.7,-79.3,ca,2019-08-25,RogersCommunicationsCanadaInc (WiFi),0,AppleMusic
44.1,-79.5,ca,2019-08-25,RogersCommunicationsCanadaInc (WiFi),0,AppleMusic
